price,bedrooms,bathrooms,sqft,status,address
2395000,3,3,1650,sold,"9 E 96th St #15B, Manhattan, NY 10128"
659000,0,1,97592,sold,"1825 Madison Ave #810, New York, NY 10035"
4556900,0,1,3017,sold,"101C E 97th St, New York, NY 10029"
6.00E+05,1,1,600,sold,"12 E 97th St #3C, Manhattan, NY 10029"
799000,0,1,30867,sold,"1820 Madison Ave #2, New York, NY 10035"
270000,1,1,335,sold,"123-125 E 102nd St #5C, Manhattan, NY 10029"
813800,2,2,951,sold,"77 E 110th St #3B, New York, NY 10029"
4335000,3,4,2389,sold,"1212 5th Ave #2A, New York, NY 10029"
480000,0,1,429,sold,"181 E 101st St #204, New York, NY 10029"
7.00E+05,1,2,700,sold,"165 E 104th St #4B, New York, NY 10029"
740000,1,1,669,sold,"217 E 96th St #37F, New York, NY 10128"
1073162,4,3,3000,sold,"436 E 120th St, New York, NY 10035"
2760000,11,5,3483,sold,"205 E 115th St, New York, NY 10029"
1725000,2,2,1344,sold,"1280 5th Ave #12C, New York, NY 10029"
2650000,1,1,6184,sold,"2270 2nd Ave, New York, NY 10035"
520000,1,1,725,sold,"1270 5th Ave #3J, Manhattan, NY 10029"
726000,2,1,810,sold,"1270 5th Ave #4G, Manhattan, NY 10029"
1525000,0,1,3600,sold,"1715 Lexington Ave, New York, NY 10029"
649057,1,1,650,sold,"16 E 98th St #1C, Manhattan, NY 10029"
4350000,0,1,1309,sold,"65 E 96th St #5C, New York, NY 10128"
4350000,0,1,1557,sold,"65 E 96th St #5D, New York, NY 10128"
2600000,3,2,1800,sold,"65 E 96th St #11B, New York, NY 10128"
499950,0,1,568,sold,"1485 5th Ave #8G, New York, NY 10035"
499950,5,4,1910,sold,"1485 5th Ave, New York, NY 10035"
650000,1,1,750,sold,"1270 5th Ave #11J, Manhattan, NY 10029"
950000,3,2,1200,sold,"506 E 119th St #2, New York, NY 10035"
825000,0,1,1228,sold,"2119 5th Ave #2, New York, NY 10035"
2690000,4,4,2162,sold,"1280 5th Ave #14E, New York, NY 10029"
825000,0,1,137,sold,"2119 5th Ave #2, New York, NY 10035"
705000,1,1,635,sold,"1790 3rd Ave #603, New York, NY 10029"
10,8,5,3761,sold,"56 E 120th St, New York, NY 10035"
515000,0,1,737,sold,"2132-2136 2nd Ave #4D, New York, NY 10029"
1392500,3,3,1443,sold,"1399 Park Ave #10D, New York, NY 10029"
2818000,3,2,1700,sold,"1150 5th Ave #3D, Manhattan, NY 10128"
1700000,2,3,1600,sold,"2 Sylvan Ct, New York, NY 10035"
410000,1,1,600,sold,"114 E 98th St #2R, Manhattan, NY 10029"
910000,1,1,803,sold,"1485 5th Ave #23C, New York, NY 10035"
1770000,8,4,3820,sold,"410 E 117th St, New York, NY 10035"
2600000,3,4,1863,sold,"1280 5th Ave #19A, New York, NY 10029"
7.00E+05,2,2,830,sold,"342 E 110th St #7D, New York, NY 10029"
2850000,0,1,3965,sold,"1914 3rd Ave, New York, NY 10029"
9.00E+05,2,1,890,sold,"119 E 101st St #1A, New York, NY 10029"
850000,0,1,137,sold,"2119 5th Ave #1, New York, NY 10035"
535000,0,1,568,sold,"1485 5th Ave #7G, New York, NY 10035"
1700000,0,1,4480,sold,"206 E 116th St, New York, NY 10029"
1650000,3,3,1633,sold,"1399 Park Ave #15D, New York, NY 10029"
750000,2,1,810,sold,"1270 5th Ave #3G, Manhattan, NY 10029"
305000,2,1,625,sold,"342 E 100th St #2C, New York, NY 10029"
2437500,2,3,1350,sold,"1150 5th Ave #7F, Manhattan, NY 10128"
1850000,3,3,1500,sold,"330-332 E 120th St, New York, NY 10035"
495000,1,1,433,sold,"1595 Lexington Ave #3A, New York, NY 10029"
495000,1,1,625,sold,"330 E 109th St #2D, New York, NY 10029"
960000,2,1,920,sold,"1790 3rd Ave #804, New York, NY 10029"
5.00E+05,2,1,721,sold,"319 E 105th St #5D, New York, NY 10029"
3900000,3,3,2282,sold,"1200 5th Ave #3A, New York, NY 10029"
1800000,0,1,4988,sold,"2118 2nd Ave, New York, NY 10029"
450000,2,1,194030,sold,"1911-1929 Madison Ave, New York, NY 10035"
750000,0,1,2352,sold,"437 E 116th St, New York, NY 10029"
730000,0,1,997,sold,"2019-2023 1st Ave #9B, New York, NY 10029"
850000,1,1,677,sold,"1255 5th Ave #6C, New York, NY 10029"
1.00E+06,0,1,3460,sold,"66 E 126th St, New York, NY 10035"
490000,0,1,850,sold,"207-209 E 120th St #3F, New York, NY 10035"
810000,1,1,728,sold,"1790 3rd Ave #903, New York, NY 10029"
998000,1,1,809,sold,"1212 5th Ave #15C, New York, NY 10029"
652500,2,2,850,sold,"1831 Madison Ave #6O, Manhattan, NY 10035"
1325000,2,1,1300,sold,"1485 5th Ave #10F, New York, NY 10035"
2650000,3,3,1800,sold,"65 E 96th St #8B, New York, NY 10128"
1995000,8,5,3600,sold,"2 E 118th St, New York, NY 10035"
575000,1,1,609,sold,"1790 3rd Ave #302, New York, NY 10029"
1750000,3,2,1500,sold,"49 E 96th St #10A, Manhattan, NY 10128"
325000,2,1,800,sold,"11 E 131st St #1B, Manhattan, NY 10037"
810000,2,1,651,sold,"1790  Third Ave #701, New York, NY 10029"
806000,1,1,705,sold,"1399 Park Ave #9E, New York, NY 10029"
7400000,3,2,2375,sold,"1170 5th Ave #A, Manhattan, NY 10029"
806000,1,1,705,sold,"1399 Park Ave #9E, New York, NY 10029"
750000,2,1,1000,sold,"12 E 97th St #1B, Manhattan, NY 10029"
1875000,6,3,3840,sold,"2267 2nd Ave, New York, NY 10035"
810000,0,1,970,sold,"161-169 E 110th St #6K, New York, NY 10029"
970000,1,1,870,sold,"1280 5th Ave #9J, New York, NY 10029"
775000,2,2,905,sold,"333 E 109th St #2E, New York, NY 10029"
1950000,0,1,3053,sold,"334-336 E 120th St, New York, NY 10035"
315000,0,1,4640,sold,"1995 3rd Ave, New York, NY 10029"
470000,1,1,700,sold,"308 E 105th St #3E, New York, NY 10029"
1170000,2,2,1100,sold,"1485 5th Ave #14E, New York, NY 10035"
1875000,6,3,3840,sold,"2265 2nd Ave, New York, NY 10035"
2500000,0,1,1600,sold,"126 E 101st St, New York, NY 10029"
585000,1,1,618,sold,"161-169 E 110th St #5D, New York, NY 10029"
1405000,2,2,1300,sold,"1485 5th Ave #7F, New York, NY 10035"
810000,2,2,970,sold,"161 E 110th St #6K, New York, NY 10029"
555000,1,1,750,sold,"2279 3rd Ave #5B, New York, NY 10035"
998903,2,2,1031,sold,"1399 Park Ave #8B, New York, NY 10029"
2.00E+06,0,1,2190,sold,"1640 Park Ave, New York, NY 10035"
1995000,4,3,2208,sold,"1399 Park Ave #19B, New York, NY 10029"
980000,0,1,1140,sold,"161-169 E 110th St #7D, New York, NY 10029"
1885000,9,6,4095,sold,"158 E 109th St, New York, NY 10029"
2100000,2,1,6092,sold,"210 E 111th St, New York, NY 10029"
2300000,3,3,2220,sold,"1165 5th Ave #11C, Manhattan, NY 10029"
275000,1,1,750,sold,"860 Grand Concourse #7-B, Bronx, NY 10451"
640000,2,1,800,sold,"70 E 93rd St #3B, New York, NY 10128"
630000,2,1,702,sold,"1443 28th Ave #1-BB, Long Island City, NY 11102"
2250000,6,4,3224,sold,"58 W 127th St, New York, NY 10027"
1200000,5,3,1100,sold,"2704 18th St, Long Island City, NY 11102"
640000,2,1,892,sold,"2322 Adam Clayton Powell Jr Blvd #4F, New York, NY 10030"
1150000,6,6,3044,sold,"637 Walton Ave, Bronx, NY 10451"
869000,2,2,1000,sold,"300 W 135th St #10E, New York, NY 10030"
910000,1,2,815,sold,"530 E 76th St #17A, New York, NY 10021"
885000,2,2,1050,sold,"504 W 136th St #5D, New York, NY 10031"
2450000,2,3,1961,sold,"238 W 108th St #6, New York, NY 10025"
535000,0,1,455,sold,"209 W 104th St #5G, New York, NY 10025"
1350000,0,1,2800,sold,"1811 21st Rd, Long Island City, NY 11105"
1825000,2,2,1356,sold,"245 E 93rd St #19H, New York, NY 10128"
2400,0,1,2080,sold,"2520 24th Ave, Long Island City, NY 11102"
192000,1,1,743,sold,"825 Walton Ave #H, Bronx, NY 10451"
960000,2,1,1000,sold,"535 W 110th St #7F, Manhattan, NY 10025"
2450000,4,5,3300,sold,"189 Edgecombe Ave #2PHOUSE, New York, NY 10030"
1100000,0,1,1600,sold,"2111 30th Ave, Long Island City, NY 11102"
445000,0,1,408,sold,"1628 2nd Ave #2N, New York, NY 10028"
2425000,5,6,3336,sold,"189 Edgecombe Ave, New York, NY 10030"
1550000,3,2,1327,sold,"68 Bradhurst Ave #9-L, New York, NY 10039"
2975000,3,3,1829,sold,"545 W 110th St #5F, New York, NY 10025"
1095000,1,1,860,sold,"382 Central Park W #17A, New York, NY 10025"
2695000,3,3,1777,sold,"272 W 107th St #7A, New York, NY 10025"
782000,1,1,627,sold,"345 E 80th St #9H, New York, NY 10075"
