price,bedrooms,bathrooms,sqft,status,address
2250000,6,4,3224,sold,"58 W 127th St, New York, NY 10027"
640000,2,1,892,sold,"2322 Adam Clayton Powell Jr Blvd #4F, New York, NY 10030"
869000,2,2,1000,sold,"300 W 135th St #10E, New York, NY 10030"
2450000,4,5,3300,sold,"189 Edgecombe Ave #2PHOUSE, New York, NY 10030"
10,0,1,2618,sold,"218 Edgecombe Ave, New York, NY 10030"
685000,2,1,960,sold,"2098 Frederick Douglass Blvd #2D, New York, NY 10026"
2425000,5,6,3336,sold,"189 Edgecombe Ave, New York, NY 10030"
1550000,3,2,1327,sold,"68 Bradhurst Ave #9-L, New York, NY 10039"
1589000,0,1,1658,sold,"1400 5th Ave #7O, New York, NY 10026"
1240000,2,2,1099,sold,"40 W 116th St #B906, New York, NY 10026"
665000,1,1,750,sold,"40 W 116th St #A1001, New York, NY 10026"
10,1,1,1183,sold,"155 W 123rd St #3, New York, NY 10027"
1374000,3,2,1396,sold,"40 W 116th St #B408, New York, NY 10026"
775000,0,1,82196,sold,"330 W 145th St #2, New York, NY 10039"
8.00E+05,2,2,1066,sold,"1400 5th Ave #2P, New York, NY 10026"
999000,3,2,1058,sold,"159 W 118th St #4H, New York, NY 10026"
1890000,0,1,1977,sold,"138-140 W 124th St #5A, New York, NY 10027"
1330000,3,3,1579,sold,"7 W 131st St #A1, New York, NY 10037"
1600000,3,3,1600,sold,"2002 5th Ave #6B, Manhattan, NY 10035"
2360000,6,5,5739,sold,"314 W 115th St, New York, NY 10026"
395000,2,1,650,sold,"214 Bradhurst Ave #8, Manhattan, NY 10039"
2840000,0,1,1955,sold,"111 W 110th St #12A, New York, NY 10026"
2840000,0,1,162,sold,"111 W 110th St #PK14, New York, NY 10026"
1200000,2,2,944,sold,"306 W 116th St #3A, New York, NY 10026"
789000,2,1,726,sold,"142 Edgecombe Ave #4A, New York, NY 10030"
1975000,5,4,2406,sold,"57 W 126th St, New York, NY 10027"
2295000,7,5,4200,sold,"2362 Adam Clayton Powell Jr Blvd, New York, NY 10030"
3.00E+06,5,5,4395,sold,"113 W 122nd St, New York, NY 10027"
6.00E+05,2,1,762,sold,"199 W 134th St #2A, New York, NY 10030"
925000,2,1,880,sold,"40 W 116th St #A916, New York, NY 10026"
1410000,2,2,1311,sold,"117 W 123rd St #3C, New York, NY 10027"
975000,2,2,1027,sold,"5 W 127th St #4B, New York, NY 10027"
450000,1,1,590,sold,"305 W 150th St #708, New York, NY 10039"
925000,2,1,830,sold,"40 W 116th St #916, New York, NY 10026"
1890000,3,3,1977,sold,"140 W 124th St #5A, New York, NY 10027"
1562500,3,2,1448,sold,"23 W 116th St #3J, New York, NY 10026"
1300000,3,2,1500,sold,"148 W 131st St #1, Manhattan, NY 10027"
1375000,2,2,1286,sold,"258 Saint Nicholas Ave #3D, New York, NY 10027"
774000,0,1,1175,sold,"300 W 138th St #2577D, New York, NY 10030"
1465000,3,2,1375,sold,"304 W 115th St #7A, New York, NY 10026"
850000,0,1,708,sold,"270 W 124th St #10F, New York, NY 10027"
1465000,3,2,1375,sold,"304 W 115th St #7A, New York, NY 10026"
985000,2,2,920,sold,"139 W 126th St #3B, New York, NY 10027"
7.00E+05,0,1,1175,sold,"300 W 138th St #2573A, New York, NY 10030"
622000,1,1,589,sold,"301 W 110th St #12C, New York, NY 10026"
452000,1,1,820,sold,"345 W 145th St #12B5, Manhattan, NY 10031"
1630000,0,1,1802,sold,"142 Edgecombe Ave #C1, New York, NY 10030"
2.00E+06,4,3,3068,sold,"141 W 129th St, New York, NY 10027"
721000,0,1,164085,sold,"102 Bradhurst Ave #3, New York, NY 10039"
820000,1,1,885,sold,"229 W 116th St #3A, New York, NY 10026"
7.00E+05,2,1,740,sold,"142 Edgecombe Ave #2A, New York, NY 10030"
463000,1,1,600,sold,"305 W 150th St #212, New York, NY 10039"
725000,0,1,91570,sold,"2235 Frederick Douglass Blvd, New York, NY 10027"
2700000,6,6,5100,sold,"147 W 126th St, New York, NY 10027"
625000,0,1,658,sold,"74 W 131st St, New York, NY 10037"
795000,2,1,1099,sold,"24 W 131st St #5, New York, NY 10037"
1019360,0,1,3300,sold,"46 W 130th St, New York, NY 10037"
2200000,0,1,1356,sold,"125 W 110th St #5, New York, NY 10026"
1350000,0,1,4172,sold,"259 W 139th St, New York, NY 10030"
1165000,2,2,1185,sold,"2110 Frederick Douglass Blvd #5A, New York, NY 10026"
441000,1,1,400,sold,"245 W 115th St #16, New York, NY 10026"
2175000,0,1,2106,sold,"309 W 118th St #1PTPL, New York, NY 10026"
527500,0,1,312016,sold,"130 Malcolm X Blvd #2, New York, NY 10026"
1275000,0,1,1178,sold,"2131 Frederick Douglass Blvd #3G, New York, NY 10026"
1800000,3,2,1640,sold,"23 W 116th St #6A, New York, NY 10026"
1535000,0,1,1365,sold,"313 W 119th St #8D, New York, NY 10026"
1225000,3,3,1215,sold,"106 W 116th St #9C, New York, NY 10026"
2200000,2,2,1536,sold,"55 Central Park N #6G, Manhattan, NY 10023"
957500,0,1,2250,sold,"158 W 136th St, New York, NY 10030"
15000,0,1,3200,sold,"305 W 136th St, New York, NY 10030"
810500,1,1,830,sold,"40 W 116th St #A516, New York, NY 10026"
582000,1,1,638,sold,"301 W 110th St #6T, New York, NY 10026"
1500000,0,1,1482,sold,"1845 Adam Clayton Powell Jr Blvd #B20, New York, NY 10026"
1020000,2,3,1099,sold,"40 W 116th St #B1006, New York, NY 10026"
629500,2,2,932,sold,"300 W 145th St #2FF, New York, NY 10039"
